"alias";"railway";"express";"esr";"name"
"";"Д-В";"2048059";"918407";"СУЛУК"
"";"Д-В";"2048060";"918411";"МОГДЫ"
"";"Д-В";"2048084";"918426";"ОРОКОТ"
"";"Д-В";"2048061";"918500";"ГЕРБИ"
"";"Д-В";"2048062";"918525";"УРКАЛЬТУ"
"";"Д-В";"2048063";"918604";"ДЖАМКУ"
"";"Д-В";"2048064";"918712";"ЭАНГА"
"";"Д-В";"2048065";"918801";"АМГУНЬ"
"";"Д-В";"2048066";"918816";"СОНАХ"
"";"Д-В";"2048067";"918820";"ЭБГУНЬ"
"";"Д-В";"2048068";"918905";"ПОСТЫШЕВО"
"";"Д-В";"2048070";"919109";"БОЛЕН"
"";"Д-В";"2048071";"919128";"МОНИ"
"";"Д-В";"2048072";"919202";"ЭВОРОН"
"";"Д-В";"2048073";"919306";"ХАРПИЧАН"
"";"Д-В";"2048074";"919401";"ГОРИН"
"";"Д-В";"2048075";"919503";"МАВРИНСКИЙ"
"";"Д-В";"2048069";"919607";"ХУРМУЛИ"
"";"Д-В";"2048076";"919715";"ЛИАН"
"";"Д-В";"2048077";"919804";"ХАЛЬГАСО"
"";"В-СИБ";"2054120";"920002";"ТАЙШЕТ"
"";"В-СИБ";"2055824";"920021";"ЛАВРЕНТЬЕВО"
"";"В-СИБ";"2054753";"920040";"АКУЛЬШЕТ"
"";"В-СИБ";"2054224";"920106";"БИРЮСИНСК"
"";"В-СИБ";"2055822";"920110";"ТАЙШЕТКА"
"";"В-СИБ";"2054903";"920125";"ВОСТОЧНЫЙ"
"";"В-СИБ";"2054666";"920137";"ДАЧНЫЙ"
"";"В-СИБ";"2054223";"920203";"ЮРТЫ"
"";"В-СИБ";"2054900";"920214";"НОВАЯ ЕЛАНЬ"
"";"В-СИБ";"2054901";"920233";"РАЗДОЛЬНЫЙ"
"";"В-СИБ";"2054902";"920252";"ВЕНГЕРКА"
"";"В-СИБ";"2054301";"920407";"БАЙРОНОВКА"
"";"В-СИБ";"2055826";"920411";"ШЕЛЕХОВО"
"";"В-СИБ";"2054302";"920500";"РАЗГОН"
"";"В-СИБ";"2055828";"920619";"МОХОВОЙ"
"";"В-СИБ";"2054303";"920642";"ОБЛЕПИХА"
"";"В-СИБ";"2054265";"920708";"АЛЗАМАЙ"
"";"В-СИБ";"2054304";"920820";"АЛГАШЕТ"
"";"В-СИБ";"2054306";"920905";"ЗАМЗОР"
"";"В-СИБ";"2055834";"920943";"БОЛОТНЫЙ"
"";"В-СИБ";"2054307";"921005";"КАМЫШЕТ"
"";"В-СИБ";"2055835";"921013";"ХОХЛУША"
"";"В-СИБ";"2054308";"921109";"УК"
"";"В-СИБ";"2055837";"921128";"МАРА"
"";"В-СИБ";"2054337";"921147";"КУРЯТ"
"";"В-СИБ";"2054310";"921202";"НИЖНЕУДИНСК"
"";"В-СИБ";"2054334";"921217";"РУБАХИНО"
"";"В-СИБ";"2054309";"921306";"УДА 2"
"";"В-СИБ";"2055840";"921310";"МУКСУТ"
